abundance,AverageShortestPathLength,Betweenness Dir,BetweennessCentrality,Bridging Dir,Centroid Dir,Class,Closeness Dir,ClosenessCentrality,ClusteringCoefficient,degree,Eccentricity,EdgeCount,EigenVector Dir,Family,Genus,Indegree,IsSingleNode,Kingdom,Label,MCODE::Clusters (1),MCODE::Node Status (1),MCODE::Score (1),name,negdegree,NeighborhoodConnectivity,Order,oriID,Outdegree,PartnerOfMultiEdgedNodePairs,Phylum,posdegree,Radiality Dir,samplecount,selected,SelfLoops,shared name,Species,Stress,unknowndegree
3890,0,0,0,0,0,Sordariomycetes,0,0,0,1,0,1,-6.25E-275,Hypocreales_fam_Incertae_sedis,Sarocladium,1,FALSE,Fungi,444,,Unclustered,0,444,0,1,Hypocreales,444,0,0,Ascomycota,1,0.001680672,3,FALSE,0,444,f78cd9c16b8fb52115d52532e47e447d,0,0
35,3,0,0,0,-5,Actinobacteria,2.283333333333333,0.3333333333333333,0.5,2,5,2,-1.36E-134,Microbacteriaceae,Microbacteriaceae,1,FALSE,Bacteria,34,Cluster 3,Clustered,2,34,0,4,Micrococcales,34,1,0,Actinobacteriota,2,0.001687147,1,FALSE,0,34,453cf07d3e96e304f23fbde7b355fe70,0,0
3650,1,0,0,0,-1,Gammaproteobacteria,1,1,0,1,1,1,-2.20E-275,Pseudomonadaceae,Pseudomonas,0,FALSE,Bacteria,71,,Unclustered,0,71,0,1,Pseudomonadales,71,1,0,Proteobacteria,1,0.001683502,7,FALSE,0,71,9d30df1c09b60bb791f16b9f769c6335,0,0
18444,0,0,0,0,0,Bacteria,0,0,0,1,0,1,-1.15E-198,Bacteria,Bacteria,1,FALSE,Bacteria,102,,Unclustered,0,102,0,1,Bacteria,102,0,0,Bacteria,1,0.001680672,8,FALSE,0,102,da4b4ceac6934222f0b9cc84433e5338,0,0
520,1,0,0,0,-1,Dothideomycetes,1,1,0.3333333333333333,3,1,3,-3.75E-259,Pleosporaceae,Bipolaris,2,FALSE,Fungi,329,Cluster 2,Clustered,1.6666666666666667,329,0,2.3333333333333335,Pleosporales,329,1,0,Ascomycota,3,0.001683502,2,FALSE,0,329,925c1912dc5a32e47efb19c2ff4917a7,0,0
341,1,0,0,0,-4,Dothideomycetes,4,1,0.5,4,1,4,-4.20E-274,Botryosphaeriaceae,Tiarosporella,0,FALSE,Fungi,234,Cluster 1,Seed,4,234,0,4,Botryosphaeriales,234,4,0,Ascomycota,4,0.001692047,2,TRUE,0,234,5180d6832750edd9455229294296e089,0,0
31,2.5,9.5,1,1.78125,-4,Gammaproteobacteria,2.0833333333333335,0.4,0.083333333,4,4,4,6.325034185954764E-285,Pseudomonadaceae,Pseudomonas,3,FALSE,Bacteria,30,Cluster 3,Seed,2,30,0,3.25,Pseudomonadales,30,1,0,Proteobacteria,4,0.001686578,1,FALSE,0,30,428e4a80a1e14a59d72810a32f62f434,76,0
874,1,0,0,0,-1,Dothideomycetes,1,1,0,1,1,1,9.655475330344987E-273,Aureobasidiaceae,Aureobasidium,0,FALSE,Fungi,210,,Unclustered,0,210,0,2,Dothideales,210,1,0,Ascomycota,1,0.001683502,2,FALSE,0,210,3c64c570a53a436ca0372c6d637cc52f,0,0
1887,0,0,0,0,0,Sordariomycetes,0,0,0,2,0,2,-1.44E-285,Nectriaceae,Gibberella,2,FALSE,Fungi,410,,Unclustered,0.6666666666666666,410,0,1,Hypocreales,410,0,0,Ascomycota,2,0.001680672,3,FALSE,0,410,d7a9a110d2e745357d1f8284dc3a950b,0,0
515,1,0,0,0,-1,Dothideomycetes,1,1,0,1,1,1,-1.62E-257,Didymosphaeriaceae,Neptunomyces,0,FALSE,Fungi,137,,Unclustered,0,137,0,1,Pleosporales,137,1,0,Ascomycota,1,0.001683502,4,FALSE,0,137,0d6e218bb61fc79ef28272f125f39033,0,0
1106,0,0,0,0,0,Tremellomycetes,0,0,0,1,0,1,2.378131414173772E-272,Rhynchogastremataceae,Papiliotrema,1,FALSE,Fungi,391,,Unclustered,0,391,0,1,Tremellales,391,0,0,Basidiomycota,1,0.001680672,2,FALSE,0,391,c6c303ec40570a32fc80931121416ba7,0,0
281,1,0,0,0,-1,Gammaproteobacteria,1,1,0,1,1,1,1.1118951168144302E-272,Pseudomonadaceae,Pseudomonas,0,FALSE,Bacteria,86,,Unclustered,0,86,0,1,Pseudomonadales,86,1,0,Proteobacteria,1,0.001683502,2,FALSE,0,86,c06ccd1f7d57566ef669942328b1a946,0,0
1348,0,0,0,0,0,Sordariomycetes,0,0,0,1,0,1,-8.59E-286,Phomatosporaceae,Phomatospora,1,FALSE,Fungi,437,,Unclustered,0,437,0,1,Phomatosporales,437,0,0,Ascomycota,1,0.001680672,3,FALSE,0,437,f1d4ac7d7901f6b881897c49e8351a52,0,0
1132,1,0,0,0,-1,Sordariomycetes,1,1,0,1,1,1,1.223479252466512E-61,Cryphonectriaceae,Chrysofolia,0,FALSE,Fungi,387,,Unclustered,0,387,0,1,Diaporthales,387,1,0,Ascomycota,1,0.001683502,2,FALSE,0,387,c1f1f2f0271f79a1ab5f79751fe6e057,0,0
461,0,0,0,0,0,Exobasidiomycetes,0,0,0,1,0,1,-1.16E-274,Brachybasidiaceae,Meira,1,FALSE,Fungi,197,,Unclustered,0,197,0,1,Exobasidiales,197,0,0,Basidiomycota,1,0.001680672,2,FALSE,0,197,3745492b14b750254823033a89f2f962,0,0
549,1,0,0,0,-1,Dothideomycetes,1,1,0,1,1,1,-4.71E-269,Phaeosphaeriaceae,Phaeosphaeria,0,FALSE,Fungi,441,,Unclustered,0,441,0,2,Pleosporales,441,1,0,Ascomycota,1,0.001683502,2,FALSE,0,441,f5ae05d03c9938746af4063e03b3c438,0,0
460,0,0,0,0,0,Sordariomycetes,0,0,0,2,0,2,9.01841100938345E-100,Sporocadaceae,Pestalotiopsis,2,FALSE,Fungi,345,,Unclustered,0.6666666666666666,345,0,2,Xylariales,345,0,0,Ascomycota,2,0.001680672,2,FALSE,0,345,a035d3cf23733dfc79a7869877b26fdb,0,0
2482,1,0,0,0,-1,Dothideomycetes,1,1,0,1,1,1,-1.05E-269,Aureobasidiaceae,Aureobasidium,0,FALSE,Fungi,323,,Unclustered,0,323,0,1,Dothideales,323,1,0,Ascomycota,1,0.001683502,3,FALSE,0,323,8ef98cf6b73e89ceacfafe2e68fd1b36,0,0
884,0,0,0,0,0,Dothideomycetes,0,0,0,1,0,1,5.1977527397944904E-287,Pleosporaceae,Alternaria,1,FALSE,Fungi,160,,Unclustered,0,160,0,1,Pleosporales,160,0,0,Ascomycota,1,0.001680672,3,FALSE,0,160,1c208c9df96da940b087e89fe156cedb,0,0
5978,1,0,0,0,-1,Alphaproteobacteria,1,1,0,1,1,1,-7.63E-270,Rhizobiaceae,Aureimonas,0,FALSE,Bacteria,93,,Unclustered,0,93,0,1,Rhizobiales,93,1,0,Proteobacteria,1,0.001683502,3,FALSE,0,93,cb0de3f92a0bb309ddd28a9aef2488af,0,0
699,0,0,0,0,0,Gammaproteobacteria,0,0,0,1,0,1,-6.92E-259,Enterobacterales,Enterobacterales,1,FALSE,Bacteria,66,,Unclustered,0,66,0,1,Enterobacterales,66,0,0,Proteobacteria,1,0.001680672,2,FALSE,0,66,9290bf71801644ad69fa09e2d3051852,0,0
484,1,0,0,0,-1,Dothideomycetes,1,1,0,1,1,1,-3.61E-254,Botryosphaeriaceae,Neofusicoccum,0,FALSE,Fungi,289,,Unclustered,0,289,0,2,Botryosphaeriales,289,1,0,Ascomycota,1,0.001683502,2,FALSE,0,289,7baf1da6a12fe63cbac7693c39d9f2a0,0,0
598,0,0,0,0,0,Sordariomycetes,0,0,0,2,0,2,5.212168140494887E-39,Sporocadaceae,Pestalotiopsis,2,FALSE,Fungi,417,,Unclustered,0.6666666666666666,417,0,1,Xylariales,417,0,0,Ascomycota,2,0.001680672,2,FALSE,0,417,e1458ba0cdead080ae9503cb2dfd1e59,0,0
988,1,0,0,0,-1,Dothideomycetes,1,1,0,1,1,1,-2.04E-134,Didymosphaeriaceae,Paraphaeosphaeria,0,FALSE,Fungi,292,,Unclustered,0,292,0,2,Pleosporales,292,1,0,Ascomycota,1,0.001683502,3,FALSE,0,292,7e6f27b6da3d0f875a44dc6c2a9a1019,0,0
638,0,0,0,0,0,Dothideomycetes,0,0,0,2,0,2,-2.41E-149,Pleosporaceae,Stemphylium,2,FALSE,Fungi,203,,Unclustered,0.6666666666666666,203,0,1,Pleosporales,203,0,0,Ascomycota,2,0.001680672,2,FALSE,0,203,3950057cf81423023446b5dec6aa21f8,0,0
5187,1,0,0,0,-1,Dothideomycetes,1,1,0,1,1,1,3.979585226699659E-282,Dothideales,Dothideales,0,FALSE,Fungi,408,,Unclustered,0,408,0,1,Dothideales,408,1,0,Ascomycota,1,0.001683502,3,FALSE,0,408,d436a62bb46cc35f3adb59159c80e77d,0,0
2303,0,0,0,0,0,Dothideomycetes,0,0,0,1,0,1,-3.12E-290,Didymellaceae,Neoascochyta,1,FALSE,Fungi,199,,Unclustered,0,199,0,1,Pleosporales,199,0,0,Ascomycota,1,0.001680672,4,FALSE,0,199,387156c278ec3ea582e60e34a2bbd40c,0,0
507,1,0,0,0,-2,Dothideomycetes,2,1,0.5,2,1,2,0,Pleosporaceae,Bipolaris,0,FALSE,Fungi,347,Cluster 6,Seed,2,347,0,2,Pleosporales,347,2,0,Ascomycota,2,0.001686341,2,FALSE,0,347,a16fd2ee45187ec576b1c3afc2d277bc,0,0
191,1,0,0,0,-1,Actinobacteria,1,1,0.5,2,1,2,1.596590742967824E-283,Kineosporiaceae,Quadrisphaera,1,FALSE,Bacteria,42,Cluster 5,Seed,2,42,0,2.5,Kineosporiales,42,1,0,Actinobacteriota,2,0.001683502,2,FALSE,0,42,57d717789b00b69bc62c3f74e57f03a5,0,0
147,1,0,0,0,-1,Gammaproteobacteria,1,1,0,1,1,1,-8.83E-288,Erwiniaceae,Pantoea,0,FALSE,Bacteria,95,,Unclustered,0,95,0,1,Enterobacterales,95,1,0,Proteobacteria,1,0.001683502,3,FALSE,0,95,cc761daf51f27c423da57f3f1f0ff5cc,0,0
656,0,0,0,0,0,Dothideomycetes,0,0,0,1,0,1,0,Pleosporaceae,Alternaria,1,FALSE,Fungi,366,,Unclustered,0,366,0,1,Pleosporales,366,0,0,Ascomycota,1,0.001680672,3,FALSE,0,366,b108e78f772ab01a042cffc8c5bade02,0,0
290,1,0,0,0,-2,Dothideomycetes,2,1,0.5,2,1,2,0,Lophiostomataceae,Lophiostoma,0,FALSE,Fungi,181,Cluster 2,Seed,2,181,0,3,Pleosporales,181,2,0,Ascomycota,2,0.001686341,2,FALSE,0,181,2d693555e6f5b6ca8fa3f2fcb8547442,0,0
1022,1,0,0,0,-1,Exobasidiomycetes,1,1,0,1,1,1,1.4166664361417755E-172,Brachybasidiaceae,Meira,0,FALSE,Fungi,182,,Unclustered,0,182,0,1,Exobasidiales,182,1,0,Basidiomycota,1,0.001683502,2,FALSE,0,182,2d95ef5485b30da371dd59be6ad42cc2,0,0
769,0,0,0,0,0,Dothideomycetes,0,0,0,1,0,1,3.2262828139603063E-234,Pleosporales,Pleosporales,1,FALSE,Fungi,145,,Unclustered,0,145,0,1,Pleosporales,145,0,0,Ascomycota,1,0.001680672,2,FALSE,0,145,12a18ac937ca4c21143588f0a46967e8,0,0
351,1,0,0,0,-1,Sordariomycetes,1,1,0,1,1,1,3.041831613559983E-198,Trichosphaeriaceae,Nigrospora,0,FALSE,Fungi,237,,Unclustered,0,237,0,1,Trichosphaeriales,237,1,0,Ascomycota,1,0.001683502,2,FALSE,0,237,52c5af2a071f0a6081e457be45a5a877,0,0
614,0,0,0,0,0,Dothideomycetes,0,0,0,1,0,1,-6.40E-291,Pleosporaceae,Bipolaris,1,FALSE,Fungi,446,,Unclustered,0,446,0,1,Pleosporales,446,0,0,Ascomycota,1,0.001680672,2,FALSE,0,446,f9f62d3acc05b22a721a1a6345e81c17,0,0
899,1,0,0,0,-1,Sordariomycetes,1,1,0.5,2,1,2,3.5895009252578756E-290,Trichosphaeriaceae,Nigrospora,1,FALSE,Fungi,363,Cluster 4,Clustered,2,363,0,2,Trichosphaeriales,363,1,0,Ascomycota,2,0.001683502,3,FALSE,0,363,af16991ce12daf846fcbcf604f581dea,0,0
608,0,0,0,0,0,Dothideomycetes,0,0,0.5,2,0,2,0,Pleosporales,Pleosporales,2,FALSE,Fungi,302,Cluster 4,Clustered,2,302,0,2,Pleosporales,302,0,0,Ascomycota,2,0.001680672,2,FALSE,0,302,83e04ec05368359fe46448e13864e46f,0,0
222,1.75,0,0,0,-4,Dothideomycetes,2.833333333333333,0.5714285714285714,0,2,3,2,3.5372630651220274E-58,Pleosporaceae,Bipolaris,0,FALSE,Fungi,120,,Unclustered,0.6666666666666666,120,0,2,Pleosporales,120,2,0,Ascomycota,2,0.001688714,2,FALSE,0,120,012c4ede495a334269e27fb6d71d7f68,0,0
555,1,0,0,0,-1,Dothideomycetes,1,1,0,1,1,1,1.480856604964603E-247,Mycosphaerellaceae,Zasmidium,0,FALSE,Fungi,435,,Unclustered,0,435,0,2,Capnodiales,435,1,0,Ascomycota,1,0.001683502,2,FALSE,0,435,f0723b95e1775c2e20ead8b5e47c821c,0,0
564,1,0,0,0,-1,Dothideomycetes,1,1,0,1,1,1,0,Phaeosphaeriaceae,Phaeosphaeria,0,FALSE,Fungi,158,,Unclustered,0,158,0,2,Pleosporales,158,1,0,Ascomycota,1,0.001683502,3,FALSE,0,158,1b049cea682ce87fcbfd2d1a08441799,0,0
358,1,0,0,0,-1,Dothideomycetes,1,1,0,1,1,1,7.016700975954177E-204,Didymellaceae,Didymellaceae,0,FALSE,Fungi,142,,Unclustered,0,142,0,1,Pleosporales,142,1,0,Ascomycota,1,0.001683502,2,FALSE,0,142,1003aff639b5bb2303e43fcfa1750794,0,0
408,0,0,0,0,0,Sordariomycetes,0,0,0,1,0,1,-1.36E-134,Apiosporaceae,Arthrinium,1,FALSE,Fungi,188,,Unclustered,0,188,0,1,Xylariales,188,0,0,Ascomycota,1,0.001680672,2,FALSE,0,188,303e780f5fad9010bf76f0b64a7cd3f9,0,0
815,1,0,0,0,-1,Dothideomycetes,1,1,0,1,1,1,-1.65E-274,Halotthiaceae,Sulcosporium,0,FALSE,Fungi,333,,Unclustered,0,333,0,1,Pleosporales,333,1,0,Ascomycota,1,0.001683502,2,FALSE,0,333,952c6311794f5835a3a24db16b36f5ef,0,0
289,0,0,0,0,0,Dothideomycetes,0,0,0,1,0,1,1.4166664361417755E-172,Sporormiaceae,Sporormiaceae,1,FALSE,Fungi,136,,Unclustered,0,136,0,1,Pleosporales,136,0,0,Ascomycota,1,0.001680672,2,FALSE,0,136,0d34517777587a46bab41072c8d06159,0,0
178,1,0,0,0,-1,Gammaproteobacteria,1,1,0,1,1,1,4.869680984929747E-252,Pseudomonadaceae,Pseudomonas,0,FALSE,Bacteria,48,,Unclustered,0,48,0,2,Pseudomonadales,48,1,0,Proteobacteria,1,0.001683502,2,FALSE,0,48,77a1e8bc25be2a0afd352762ed9497ce,0,0
255,1,0,0,0,-1,Sordariomycetes,1,1,0,1,1,1,0,Trichosphaeriaceae,Nigrospora,0,FALSE,Fungi,128,,Unclustered,0,128,0,1,Trichosphaeriales,128,1,0,Ascomycota,1,0.001683502,2,FALSE,0,128,0908cda00e89f73be7a77ccd53167e3a,0,0
368,0,0,0,0,0,Dothideomycetes,0,0,0,1,0,1,8.61182896598555E-240,Pleosporales,Pleosporales,1,FALSE,Fungi,191,,Unclustered,0,191,0,1,Pleosporales,191,0,0,Ascomycota,1,0.001680672,2,FALSE,0,191,32bf13e7aeb3443324b2a03c9e4068e9,0,0
881,1,0,0,0,-2,Dothideomycetes,2,1,0.5,2,1,2,-1.93E-259,Dothioraceae,Hormonema,0,FALSE,Fungi,412,Cluster 4,Seed,2,412,0,2,Dothideales,412,2,0,Ascomycota,2,0.001686341,2,FALSE,0,412,d8dfc78f8da44d49ed90b1ab9b0da839,0,0
577,1,0,0,0,-1,Dothideomycetes,1,1,0,1,1,1,0,Didymellaceae,Didymellaceae,0,FALSE,Fungi,343,,Unclustered,0,343,0,1,Pleosporales,343,1,0,Ascomycota,1,0.001683502,2,FALSE,0,343,9de3565e99abf08d8824062bf2077c50,0,0
507,0,0,0,0,0,Dothideomycetes,0,0,0,1,0,1,0,Phaeosphaeriaceae,Phaeosphaeria,1,FALSE,Fungi,316,,Unclustered,0,316,0,1,Pleosporales,316,0,0,Ascomycota,1,0.001680672,2,FALSE,0,316,8b10c249a7a22c6380f60018f5e9f47b,0,0
928,1,0,0,0,-1,Dothideomycetes,1,1,0,1,1,1,1.1683204563099396E-201,Pleosporaceae,Alternaria,0,FALSE,Fungi,133,,Unclustered,0,133,0,1,Pleosporales,133,1,0,Ascomycota,1,0.001683502,3,FALSE,0,133,0a9c4b1ee8f2f1a58e384af6dd5aa44b,0,0
2853,0,0,0,0,0,Sordariomycetes,0,0,0,1,0,1,2.2421702417197985E-236,Xylariales,Xylariales,1,FALSE,Fungi,196,,Unclustered,0,196,0,1,Xylariales,196,0,0,Ascomycota,1,0.001680672,2,FALSE,0,196,3713f4888a0ab4243cf184f51ab562ce,0,0
358,0,0,0,0,0,Dothideomycetes,0,0,0,2,0,2,-1.56E-160,Pleosporaceae,Alternaria,2,FALSE,Fungi,239,,Unclustered,0.6666666666666666,239,0,3,Pleosporales,239,0,0,Ascomycota,2,0.001680672,3,FALSE,0,239,53743eace6b0c0d039ca99d32a50e182,0,0
244,1,0,0,0,-1,Gammaproteobacteria,1,1,0,1,1,1,1.8362544767815674E-118,Erwiniaceae,Pantoea,0,FALSE,Bacteria,19,,Unclustered,0,19,0,1,Enterobacterales,19,1,0,Proteobacteria,1,0.001683502,3,FALSE,0,19,313ac78d3883be2bd83be76b5546c8f7,0,0
1196,0,0,0,0,0,Sordariomycetes,0,0,0,1,0,1,4.6097442443183955E-274,Sporocadaceae,Pestalotiopsis,1,FALSE,Fungi,152,,Unclustered,0,152,0,1,Xylariales,152,0,0,Ascomycota,1,0.001680672,4,FALSE,0,152,16f107dc0d49cf29491cb6725e4851b0,0,0
740,1,0,0,0,-1,Ascomycota,1,1,0,1,1,1,-8.86E-270,Ascomycota,Ascomycota,0,FALSE,Fungi,322,,Unclustered,0,322,0,1,Ascomycota,322,1,0,Ascomycota,1,0.001683502,3,FALSE,0,322,8e47237dda4929c4b9babc1a1b65c74d,0,0
760,0,0,0,0,0,Exobasidiomycetes,0,0,0,1,0,1,-5.72E-276,Microstromatales_fam_Incertae_sedis,Pseudomicrostroma,1,FALSE,Fungi,328,,Unclustered,0,328,0,1,Microstromatales,328,0,0,Basidiomycota,1,0.001680672,4,FALSE,0,328,91d64047a67006f64fa203c16a353465,0,0
135,1,0,0,0,-1,Actinobacteria,1,1,0,1,1,1,1.6598284106352254E-23,Microbacteriaceae,Leifsonia,0,FALSE,Bacteria,24,,Unclustered,0,24,0,3,Micrococcales,24,1,0,Actinobacteriota,1,0.001683502,2,FALSE,0,24,3cd9ce63f826137d18ca1a11155a21ad,0,0
222,1,0,0,0,-1,Alphaproteobacteria,1,1,0,1,1,1,3.3000934680363847E-274,Sphingomonadaceae,Sphingomonas,0,FALSE,Bacteria,16,,Unclustered,0,16,0,1,Sphingomonadales,16,1,0,Proteobacteria,1,0.001683502,2,FALSE,0,16,1fa19a198819b145e52bb266e4e7840b,0,0
18217,0,0,0,0,0,Sordariomycetes,0,0,0,1,0,1,-8.48E-237,Microdochiaceae,Microdochium,1,FALSE,Fungi,324,,Unclustered,0,324,0,1,Xylariales,324,0,0,Ascomycota,1,0.001680672,4,FALSE,0,324,8f6c396b52899eaa03cd5fb7cc3c481b,0,0
539,1,0,0,0,-1,Dothideomycetes,1,1,0,1,1,1,0,Dothideomycetes,Dothideomycetes,0,FALSE,Fungi,195,,Unclustered,0,195,0,1,Dothideomycetes,195,1,0,Ascomycota,1,0.001683502,3,FALSE,0,195,367c69af878ecf04d0eaff4c5907e8b9,0,0
1060,0,0,0,0,0,Dothideomycetes,0,0,0,1,0,1,-3.28E-226,Sporormiaceae,Sporormiella,1,FALSE,Fungi,393,,Unclustered,0,393,0,1,Pleosporales,393,0,0,Ascomycota,1,0.001680672,2,FALSE,0,393,c7b44c8597bd0404ec91f0dffd8d9339,0,0
3427,1,0,0,0,-1,Sordariomycetes,1,1,0,1,1,1,-2.12E-122,Sporocadaceae,Pestalotiopsis,0,FALSE,Fungi,187,,Unclustered,0,187,0,1,Xylariales,187,1,0,Ascomycota,1,0.001683502,5,FALSE,0,187,2fd147e32dd91f4438a33f95b8006dd8,0,0
5388,0,0,0,0,0,Sordariomycetes,0,0,0,1,0,1,0,Schizoparmaceae,Coniella,1,FALSE,Fungi,369,,Unclustered,0,369,0,1,Diaporthales,369,0,0,Ascomycota,1,0.001680672,3,FALSE,0,369,b4b4ce71117ee941e8230703c663c0b2,0,0