SampleID	PCR_Control	Extract_Control	Source	Site	Region	SiteType	Host_SiteType	Host_Region	SiteType_Site	Primer_with_WEHI_adapter	Index_PCR_Plate	Fwd_primer	FWDprimer	REVPrimer	Rev_Primer
S162_NSW1092531_FWD16	FALSE	FALSE	Microlaena_stipoides	Tathra_APZ_Panorama_Drive	South_Coast	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_South_Coast	Restored_Tathra_APZ_Panorama_Drive	515f/806r	Allison_Plate 1_Run3	Fwd_16	FWD16	REV01	Rev_01
S163_NSW1092542_FWD16	FALSE	FALSE	Microlaena_stipoides	Tathra_APZ_Panorama_Drive	South_Coast	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_South_Coast	Restored_Tathra_APZ_Panorama_Drive	515f/806r	Allison_Plate 1_Run3	Fwd_16	FWD16	REV02	Rev_02
S164_NSW1092537_FWD16	FALSE	FALSE	Microlaena_stipoides	Tathra_APZ_Panorama_Drive	South_Coast	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_South_Coast	Restored_Tathra_APZ_Panorama_Drive	515f/806r	Allison_Plate 1_Run3	Fwd_16	FWD16	REV03	Rev_03
S165_NSW1092532_FWD16	FALSE	FALSE	Microlaena_stipoides	Tathra_APZ_Panorama_Drive	South_Coast	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_South_Coast	Restored_Tathra_APZ_Panorama_Drive	515f/806r	Allison_Plate 1_Run3	Fwd_16	FWD16	REV04	Rev_04
S166_NSW1092615_FWD16	FALSE	FALSE	Microlaena_stipoides	Tathra_APZ_Panorama_Drive	South_Coast	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_South_Coast	Restored_Tathra_APZ_Panorama_Drive	515f/806r	Allison_Plate 1_Run3	Fwd_16	FWD16	REV05	Rev_05
S167_NSW1092620_FWD16	FALSE	FALSE	Microlaena_stipoides	Tathra_APZ_Panorama_Drive	South_Coast	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_South_Coast	Restored_Tathra_APZ_Panorama_Drive	515f/806r	Allison_Plate 1_Run3	Fwd_16	FWD16	REV06	Rev_06
S168_NSW1092618_FWD16	FALSE	FALSE	Microlaena_stipoides	Tathra_APZ_Panorama_Drive	South_Coast	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_South_Coast	Restored_Tathra_APZ_Panorama_Drive	515f/806r	Allison_Plate 1_Run3	Fwd_16	FWD16	REV07	Rev_07
S169_NSW1092522_FWD16	FALSE	FALSE	Microlaena_stipoides	Noorumba_Reserve_Rosemeadow	Sydney	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_Sydney	Natural_Noorumba_Reserve_Rosemeadow	515f/806r	Allison_Plate 1_Run3	Fwd_16	FWD16	REV08	Rev_08
S17_NSW1092636_FWD19	FALSE	FALSE	Microlaena_stipoides	Bournda_NP_North_Tura	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Bournda_NP_North_Tura	515f/806r	Allison_Plate_4_Run2	Fwd_19	FWD19	REV17	Rev_17
S170_NSW1092505_FWD16	FALSE	FALSE	Microlaena_stipoides	Noorumba_Reserve_Rosemeadow	Sydney	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_Sydney	Natural_Noorumba_Reserve_Rosemeadow	515f/806r	Allison_Plate 1_Run3	Fwd_16	FWD16	REV09	Rev_09
S171_NSW1092506_FWD16	FALSE	FALSE	Microlaena_stipoides	Noorumba_Reserve_Rosemeadow	Sydney	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_Sydney	Natural_Noorumba_Reserve_Rosemeadow	515f/806r	Allison_Plate 1_Run3	Fwd_16	FWD16	REV10	Rev_10
S172_NSW1092507_FWD09	FALSE	FALSE	Microlaena_stipoides	Noorumba_Reserve_Rosemeadow	Sydney	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_Sydney	Natural_Noorumba_Reserve_Rosemeadow	515f/806r	Allison_Plate 2_Run3	Fwd_09	FWD09	REV13	Rev_13
S173_NSW1092508_FWD09	FALSE	FALSE	Microlaena_stipoides	Noorumba_Reserve_Rosemeadow	Sydney	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_Sydney	Natural_Noorumba_Reserve_Rosemeadow	515f/806r	Allison_Plate 2_Run3	Fwd_09	FWD09	REV14	Rev_14
S174_NSW1092521_FWD09	FALSE	FALSE	Microlaena_stipoides	Noorumba_Reserve_Rosemeadow	Sydney	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_Sydney	Natural_Noorumba_Reserve_Rosemeadow	515f/806r	Allison_Plate 2_Run3	Fwd_09	FWD09	REV15	Rev_15
S175_NSW1092520_FWD09	FALSE	FALSE	Microlaena_stipoides	Noorumba_Reserve_Rosemeadow	Sydney	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_Sydney	Natural_Noorumba_Reserve_Rosemeadow	515f/806r	Allison_Plate 2_Run3	Fwd_09	FWD09	REV16	Rev_16
S176_NSW1092503_FWD09	FALSE	FALSE	Themeda_triandra	Noorumba_Reserve_Rosemeadow	Sydney	Natural	Themeda_triandra_Natural	Themeda_triandra_Sydney	Natural_Noorumba_Reserve_Rosemeadow	515f/806r	Allison_Plate 2_Run3	Fwd_09	FWD09	REV17	Rev_17
S177_NSW1092518_FWD09	FALSE	FALSE	Themeda_triandra	Noorumba_Reserve_Rosemeadow	Sydney	Natural	Themeda_triandra_Natural	Themeda_triandra_Sydney	Natural_Noorumba_Reserve_Rosemeadow	515f/806r	Allison_Plate 2_Run3	Fwd_09	FWD09	REV18	Rev_18
S178_NSW1092510_FWD09	FALSE	FALSE	Themeda_triandra	Noorumba_Reserve_Rosemeadow	Sydney	Natural	Themeda_triandra_Natural	Themeda_triandra_Sydney	Natural_Noorumba_Reserve_Rosemeadow	515f/806r	Allison_Plate 2_Run3	Fwd_09	FWD09	REV19	Rev_19
S179_NSW1092511_FWD09	FALSE	FALSE	Themeda_triandra	Noorumba_Reserve_Rosemeadow	Sydney	Natural	Themeda_triandra_Natural	Themeda_triandra_Sydney	Natural_Noorumba_Reserve_Rosemeadow	515f/806r	Allison_Plate 2_Run3	Fwd_09	FWD09	REV20	Rev_20
S180_NSW1092513_FWD09	FALSE	FALSE	Themeda_triandra	Noorumba_Reserve_Rosemeadow	Sydney	Natural	Themeda_triandra_Natural	Themeda_triandra_Sydney	Natural_Noorumba_Reserve_Rosemeadow	515f/806r	Allison_Plate 2_Run3	Fwd_09	FWD09	REV21	Rev_21
S181_NSW1092514_FWD09	FALSE	FALSE	Themeda_triandra	Noorumba_Reserve_Rosemeadow	Sydney	Natural	Themeda_triandra_Natural	Themeda_triandra_Sydney	Natural_Noorumba_Reserve_Rosemeadow	515f/806r	Allison_Plate 2_Run3	Fwd_09	FWD09	REV22	Rev_22
S182_NSW1092517_FWD09	FALSE	FALSE	Themeda_triandra	Noorumba_Reserve_Rosemeadow	Sydney	Natural	Themeda_triandra_Natural	Themeda_triandra_Sydney	Natural_Noorumba_Reserve_Rosemeadow	515f/806r	Allison_Plate 2_Run3	Fwd_09	FWD09	REV23	Rev_23
S183_NSW1092516_FWD09	FALSE	FALSE	Themeda_triandra	Noorumba_Reserve_Rosemeadow	Sydney	Natural	Themeda_triandra_Natural	Themeda_triandra_Sydney	Natural_Noorumba_Reserve_Rosemeadow	515f/806r	Allison_Plate 2_Run3	Fwd_09	FWD09	REV24	Rev_24
S184_NSW1092491_FWD10	FALSE	FALSE	Microlaena_stipoides	Crest_Reserve_Bankstown	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Crest_Reserve_Bankstown	515f/806r	Allison_Plate 2_Run3	Fwd_10	FWD10	REV13	Rev_13
S185_NSW1092492_FWD10	FALSE	FALSE	Microlaena_stipoides	Crest_Reserve_Bankstown	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Crest_Reserve_Bankstown	515f/806r	Allison_Plate 2_Run3	Fwd_10	FWD10	REV14	Rev_14
S186_NSW1092493_FWD10	FALSE	FALSE	Microlaena_stipoides	Crest_Reserve_Bankstown	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Crest_Reserve_Bankstown	515f/806r	Allison_Plate 2_Run3	Fwd_10	FWD10	REV15	Rev_15
S187_NSW1092494_FWD10	FALSE	FALSE	Microlaena_stipoides	Crest_Reserve_Bankstown	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Crest_Reserve_Bankstown	515f/806r	Allison_Plate 2_Run3	Fwd_10	FWD10	REV16	Rev_16
S188_NSW1092496_FWD10	FALSE	FALSE	Microlaena_stipoides	Crest_Reserve_Bankstown	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Crest_Reserve_Bankstown	515f/806r	Allison_Plate 2_Run3	Fwd_10	FWD10	REV17	Rev_17
S189_NSW1092498_FWD10	FALSE	FALSE	Microlaena_stipoides	Crest_Reserve_Bankstown	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Crest_Reserve_Bankstown	515f/806r	Allison_Plate 2_Run3	Fwd_10	FWD10	REV18	Rev_18
S19_NSW1092584_FWD17	FALSE	FALSE	Microlaena_stipoides	Garrad_Reserve_Narrawallee	South_Coast	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_South_Coast	Restored_Garrad_Reserve_Narrawallee	515f/806r	Allison_Plate_4_Run2	Fwd_17	FWD17	REV19	Rev_19
S190_NSW1092499_FWD10	FALSE	FALSE	Microlaena_stipoides	Crest_Reserve_Bankstown	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Crest_Reserve_Bankstown	515f/806r	Allison_Plate 2_Run3	Fwd_10	FWD10	REV19	Rev_19
S191_NSW1092486_FWD10	FALSE	FALSE	Themeda_triandra	Crest_Reserve_Bankstown	Sydney	Restored	Themeda_triandra_Restored	Themeda_triandra_Sydney	Restored_Crest_Reserve_Bankstown	515f/806r	Allison_Plate 2_Run3	Fwd_10	FWD10	REV20	Rev_20
S192_NSW1092482_FWD10	FALSE	FALSE	Themeda_triandra	Crest_Reserve_Bankstown	Sydney	Restored	Themeda_triandra_Restored	Themeda_triandra_Sydney	Restored_Crest_Reserve_Bankstown	515f/806r	Allison_Plate 2_Run3	Fwd_10	FWD10	REV21	Rev_21
S193_NSW1092477_FWD10	FALSE	FALSE	Themeda_triandra	Crest_Reserve_Bankstown	Sydney	Restored	Themeda_triandra_Restored	Themeda_triandra_Sydney	Restored_Crest_Reserve_Bankstown	515f/806r	Allison_Plate 2_Run3	Fwd_10	FWD10	REV22	Rev_22
S194_NSW1092487_FWD10	FALSE	FALSE	Themeda_triandra	Crest_Reserve_Bankstown	Sydney	Restored	Themeda_triandra_Restored	Themeda_triandra_Sydney	Restored_Crest_Reserve_Bankstown	515f/806r	Allison_Plate 2_Run3	Fwd_10	FWD10	REV23	Rev_23
S195_NSW1092488_FWD10	FALSE	FALSE	Themeda_triandra	Crest_Reserve_Bankstown	Sydney	Restored	Themeda_triandra_Restored	Themeda_triandra_Sydney	Restored_Crest_Reserve_Bankstown	515f/806r	Allison_Plate 2_Run3	Fwd_10	FWD10	REV24	Rev_24
S196_NSW1092489_FWD11	FALSE	FALSE	Themeda_triandra	Crest_Reserve_Bankstown	Sydney	Restored	Themeda_triandra_Restored	Themeda_triandra_Sydney	Restored_Crest_Reserve_Bankstown	515f/806r	Allison_Plate 2_Run3	Fwd_11	FWD11	REV13	Rev_13
S197_NSW1092502_FWD11	FALSE	FALSE	Themeda_triandra	Crest_Reserve_Bankstown	Sydney	Restored	Themeda_triandra_Restored	Themeda_triandra_Sydney	Restored_Crest_Reserve_Bankstown	515f/806r	Allison_Plate 2_Run3	Fwd_11	FWD11	REV14	Rev_14
S198_NSW1092481_FWD11	FALSE	FALSE	Themeda_triandra	Crest_Reserve_Bankstown	Sydney	Restored	Themeda_triandra_Restored	Themeda_triandra_Sydney	Restored_Crest_Reserve_Bankstown	515f/806r	Allison_Plate 2_Run3	Fwd_11	FWD11	REV15	Rev_15
S199_NSW1092638_FWD11	FALSE	FALSE	Microlaena_stipoides	Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Elizabeth_Macarthur_Reserve_Camden	515f/806r	Allison_Plate 2_Run3	Fwd_11	FWD11	REV16	Rev_16
S20_NSW1092634_FWD17	FALSE	FALSE	Microlaena_stipoides	Tathra_APZ_Panorama_Drive	South_Coast	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_South_Coast	Restored_Tathra_APZ_Panorama_Drive	515f/806r	Allison_Plate_4_Run2	Fwd_17	FWD17	REV20	Rev_20
S200_NSW1092639_FWD11	FALSE	FALSE	Microlaena_stipoides	Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Elizabeth_Macarthur_Reserve_Camden	515f/806r	Allison_Plate 2_Run3	Fwd_11	FWD11	REV17	Rev_17
S201_NSW1092640_FWD11	FALSE	FALSE	Microlaena_stipoides	Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Elizabeth_Macarthur_Reserve_Camden	515f/806r	Allison_Plate 2_Run3	Fwd_11	FWD11	REV18	Rev_18
S202_NSW1092643_FWD11	FALSE	FALSE	Microlaena_stipoides	Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Elizabeth_Macarthur_Reserve_Camden	515f/806r	Allison_Plate 2_Run3	Fwd_11	FWD11	REV19	Rev_19
S203_NSW1092649_FWD11	FALSE	FALSE	Microlaena_stipoides	Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Elizabeth_Macarthur_Reserve_Camden	515f/806r	Allison_Plate 2_Run3	Fwd_11	FWD11	REV20	Rev_20
S204_NSW1092644_FWD11	FALSE	FALSE	Microlaena_stipoides	Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Elizabeth_Macarthur_Reserve_Camden	515f/806r	Allison_Plate 2_Run3	Fwd_11	FWD11	REV21	Rev_21
S205_NSW1092645_FWD11	FALSE	FALSE	Microlaena_stipoides	Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Elizabeth_Macarthur_Reserve_Camden	515f/806r	Allison_Plate 2_Run3	Fwd_11	FWD11	REV22	Rev_22
S206_NSW1092648_FWD11	FALSE	FALSE	Microlaena_stipoides	Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Elizabeth_Macarthur_Reserve_Camden	515f/806r	Allison_Plate 2_Run3	Fwd_11	FWD11	REV23	Rev_23
S207_NSW1092655_FWD11	FALSE	FALSE	Themeda_triandra	Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	Themeda_triandra_Restored	Themeda_triandra_Sydney	Restored_Elizabeth_Macarthur_Reserve_Camden	515f/806r	Allison_Plate 2_Run3	Fwd_11	FWD11	REV24	Rev_24
S208_NSW1092658_FWD12	FALSE	FALSE	Themeda_triandra	Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	Themeda_triandra_Restored	Themeda_triandra_Sydney	Restored_Elizabeth_Macarthur_Reserve_Camden	515f/806r	Allison_Plate 2_Run3	Fwd_12	FWD12	REV13	Rev_13
S209_NSW1092659_FWD12	FALSE	FALSE	Themeda_triandra	Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	Themeda_triandra_Restored	Themeda_triandra_Sydney	Restored_Elizabeth_Macarthur_Reserve_Camden	515f/806r	Allison_Plate 2_Run3	Fwd_12	FWD12	REV14	Rev_14
S210_NSW1092660_FWD12	FALSE	FALSE	Themeda_triandra	Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	Themeda_triandra_Restored	Themeda_triandra_Sydney	Restored_Elizabeth_Macarthur_Reserve_Camden	515f/806r	Allison_Plate 2_Run3	Fwd_12	FWD12	REV15	Rev_15
S211_NSW1092665_FWD12	FALSE	FALSE	Themeda_triandra	Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	Themeda_triandra_Restored	Themeda_triandra_Sydney	Restored_Elizabeth_Macarthur_Reserve_Camden	515f/806r	Allison_Plate 2_Run3	Fwd_12	FWD12	REV16	Rev_16
S212_NSW1092664_FWD12	FALSE	FALSE	Themeda_triandra	Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	Themeda_triandra_Restored	Themeda_triandra_Sydney	Restored_Elizabeth_Macarthur_Reserve_Camden	515f/806r	Allison_Plate 2_Run3	Fwd_12	FWD12	REV17	Rev_17
S213_NSW1092668_FWD12	FALSE	FALSE	Themeda_triandra	Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	Themeda_triandra_Restored	Themeda_triandra_Sydney	Restored_Elizabeth_Macarthur_Reserve_Camden	515f/806r	Allison_Plate 2_Run3	Fwd_12	FWD12	REV18	Rev_18
S214_NSW1092669_FWD12	FALSE	FALSE	Themeda_triandra	Elizabeth_Macarthur_Reserve_Camden	Canberra	Restored	Themeda_triandra_Restored	Themeda_triandra_Canberra	Restored_Elizabeth_Macarthur_Reserve_Camden	515f/806r	Allison_Plate 2_Run3	Fwd_12	FWD12	REV19	Rev_19
S215_NSW1092845_FWD12	FALSE	FALSE	Themeda_triandra	Yarramundi_Grasslands	Canberra	Restored	Themeda_triandra_Restored	Themeda_triandra_Canberra	Restored_Yarramundi_Grasslands	515f/806r	Allison_Plate 2_Run3	Fwd_12	FWD12	REV20	Rev_20
S216_NSW1092815_FWD12	FALSE	FALSE	Themeda_triandra	Yarramundi_Grasslands	Canberra	Restored	Themeda_triandra_Restored	Themeda_triandra_Canberra	Restored_Yarramundi_Grasslands	515f/806r	Allison_Plate 2_Run3	Fwd_12	FWD12	REV21	Rev_21
S217_NSW1092820_FWD12	FALSE	FALSE	Themeda_triandra	Yarramundi_Grasslands	Canberra	Restored	Themeda_triandra_Restored	Themeda_triandra_Canberra	Restored_Yarramundi_Grasslands	515f/806r	Allison_Plate 2_Run3	Fwd_12	FWD12	REV22	Rev_22
S218_NSW1092825_FWD12	FALSE	FALSE	Themeda_triandra	Yarramundi_Grasslands	Canberra	Restored	Themeda_triandra_Restored	Themeda_triandra_Canberra	Restored_Yarramundi_Grasslands	515f/806r	Allison_Plate 2_Run3	Fwd_12	FWD12	REV23	Rev_23
S219_NSW1092830_FWD12	FALSE	FALSE	Themeda_triandra	Yarramundi_Grasslands	Canberra	Restored	Themeda_triandra_Restored	Themeda_triandra_Canberra	Restored_Yarramundi_Grasslands	515f/806r	Allison_Plate 2_Run3	Fwd_12	FWD12	REV24	Rev_24
S22_NSW1092495_FWD17	FALSE	FALSE	Microlaena_stipoides	Crest_Reserve_Bankstown	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Crest_Reserve_Bankstown	515f/806r	Allison_Plate_4_Run2	Fwd_17	FWD17	REV22	Rev_22
S220_NSW1092860_FWD13	FALSE	FALSE	Themeda_triandra	Yarramundi_Grasslands	Canberra	Restored	Themeda_triandra_Restored	Themeda_triandra_Canberra	Restored_Yarramundi_Grasslands	515f/806r	Allison_Plate 2_Run3	Fwd_13	FWD13	REV13	Rev_13
S221_NSW1092866_FWD13	FALSE	FALSE	Themeda_triandra	Yarramundi_Grasslands	Canberra	Restored	Themeda_triandra_Restored	Themeda_triandra_Canberra	Restored_Yarramundi_Grasslands	515f/806r	Allison_Plate 2_Run3	Fwd_13	FWD13	REV14	Rev_14
S222_NSW1092792_FWD13	FALSE	FALSE	Microlaena_stipoides	Mount_Pleasant	Canberra	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_Canberra	Natural_Mount_Pleasant	515f/806r	Allison_Plate 2_Run3	Fwd_13	FWD13	REV15	Rev_15
S223_NSW1092791_FWD13	FALSE	FALSE	Microlaena_stipoides	Mount_Pleasant	Canberra	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_Canberra	Natural_Mount_Pleasant	515f/806r	Allison_Plate 2_Run3	Fwd_13	FWD13	REV16	Rev_16
S224_NSW1092801_FWD13	FALSE	FALSE	Microlaena_stipoides	Mount_Pleasant	Canberra	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_Canberra	Natural_Mount_Pleasant	515f/806r	Allison_Plate 2_Run3	Fwd_13	FWD13	REV17	Rev_17
S225_NSW1092806_FWD13	FALSE	FALSE	Microlaena_stipoides	Mount_Pleasant	Canberra	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_Canberra	Natural_Mount_Pleasant	515f/806r	Allison_Plate 2_Run3	Fwd_13	FWD13	REV18	Rev_18
S226_NSW1092821_FWD13	FALSE	FALSE	Microlaena_stipoides	Mount_Pleasant	Canberra	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_Canberra	Natural_Mount_Pleasant	515f/806r	Allison_Plate 2_Run3	Fwd_13	FWD13	REV19	Rev_19
S227_NSW1092816_FWD13	FALSE	FALSE	Microlaena_stipoides	Mount_Pleasant	Canberra	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_Canberra	Natural_Mount_Pleasant	515f/806r	Allison_Plate 2_Run3	Fwd_13	FWD13	REV20	Rev_20
S228_NSW1092898_FWD13	FALSE	FALSE	Microlaena_stipoides	Mount_Pleasant	Canberra	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_Canberra	Natural_Mount_Pleasant	515f/806r	Allison_Plate 2_Run3	Fwd_13	FWD13	REV21	Rev_21
S229_NSW1092807_FWD13	FALSE	FALSE	Themeda_triandra	Mount_Pleasant	Canberra	Natural	Themeda_triandra_Natural	Themeda_triandra_Canberra	Natural_Mount_Pleasant	515f/806r	Allison_Plate 2_Run3	Fwd_13	FWD13	REV22	Rev_22
S230_NSW1092812_FWD13	FALSE	FALSE	Themeda_triandra	Mount_Pleasant	Canberra	Natural	Themeda_triandra_Natural	Themeda_triandra_Canberra	Natural_Mount_Pleasant	515f/806r	Allison_Plate 2_Run3	Fwd_13	FWD13	REV23	Rev_23
S231_NSW1092817_FWD13	FALSE	FALSE	Themeda_triandra	Mount_Pleasant	Canberra	Natural	Themeda_triandra_Natural	Themeda_triandra_Canberra	Natural_Mount_Pleasant	515f/806r	Allison_Plate 2_Run3	Fwd_13	FWD13	REV24	Rev_24
S232_NSW1092647_FWD14	FALSE	FALSE	Themeda_triandra	Mount_Pleasant	Canberra	Natural	Themeda_triandra_Natural	Themeda_triandra_Canberra	Natural_Mount_Pleasant	515f/806r	Allison_Plate 2_Run3	Fwd_14	FWD14	REV13	Rev_13
S233_NSW1092837_FWD14	FALSE	FALSE	Themeda_triandra	Mount_Pleasant	Canberra	Natural	Themeda_triandra_Natural	Themeda_triandra_Canberra	Natural_Mount_Pleasant	515f/806r	Allison_Plate 2_Run3	Fwd_14	FWD14	REV14	Rev_14
S234_NSW1092796_FWD14	FALSE	FALSE	Themeda_triandra	Mount_Pleasant	Canberra	Natural	Themeda_triandra_Natural	Themeda_triandra_Canberra	Natural_Mount_Pleasant	515f/806r	Allison_Plate 2_Run3	Fwd_14	FWD14	REV15	Rev_15
S235_NSW1092786_FWD14	FALSE	FALSE	Themeda_triandra	Mount_Pleasant	Canberra	Natural	Themeda_triandra_Natural	Themeda_triandra_Canberra	Natural_Mount_Pleasant	515f/806r	Allison_Plate 2_Run3	Fwd_14	FWD14	REV16	Rev_16
S24_NSW1092849_FWD19	FALSE	FALSE	Microlaena_stipoides	Noorumba_Reserve_Rosemeadow	Sydney	Natural	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Natural_Noorumba_Reserve_Rosemeadow	515f/806r	Allison_Plate_4_Run2	Fwd_19	FWD19	REV19	Rev_19
S264_NSW1079774_FWD16	FALSE	FALSE	Melaleuca_quinquenervia	Limeburners_Creek_National_Park	North_Coast	Natural	Melaleuca_quinquenervia_Natural	Melaleuca_quinquenervia_North_Coast	Natural_Limeburners_Creek_National_Park	515f/806r	Allison_Plate 2_Run3	Fwd_16	FWD16	REV21	Rev_21
S265_NSW1079746_FWD16	FALSE	FALSE	Melaleuca_quinquenervia	Limeburners_Creek_National_Park	North_Coast	Natural	Melaleuca_quinquenervia_Natural	Melaleuca_quinquenervia_North_Coast	Natural_Limeburners_Creek_National_Park	515f/806r	Allison_Plate 2_Run3	Fwd_16	FWD16	REV22	Rev_22
S266_NSW1079799_FWD17	FALSE	FALSE	Melaleuca_quinquenervia	Limeburners_Creek_National_Park	North_Coast	Natural	Melaleuca_quinquenervia_Natural	Melaleuca_quinquenervia_North_Coast	Natural_Limeburners_Creek_National_Park	515f/806r	Allison_Plate 3_Run3	Fwd_17	FWD17	REV01	Rev_01
S267_NSW1079761_FWD17	FALSE	FALSE	Melaleuca_quinquenervia	Limeburners_Creek_National_Park	North_Coast	Natural	Melaleuca_quinquenervia_Natural	Melaleuca_quinquenervia_North_Coast	Natural_Limeburners_Creek_National_Park	515f/806r	Allison_Plate 3_Run3	Fwd_17	FWD17	REV02	Rev_02
S268_NSW1079767_FWD17	FALSE	FALSE	Melaleuca_quinquenervia	Limeburners_Creek_National_Park	North_Coast	Natural	Melaleuca_quinquenervia_Natural	Melaleuca_quinquenervia_North_Coast	Natural_Limeburners_Creek_National_Park	515f/806r	Allison_Plate 3_Run3	Fwd_17	FWD17	REV03	Rev_03
S269_NSW1079762_FWD17	FALSE	FALSE	Melaleuca_quinquenervia	Limeburners_Creek_National_Park	North_Coast	Natural	Melaleuca_quinquenervia_Natural	Melaleuca_quinquenervia_North_Coast	Natural_Limeburners_Creek_National_Park	515f/806r	Allison_Plate 3_Run3	Fwd_17	FWD17	REV04	Rev_04
S27_NSW1092587_FWD19	FALSE	FALSE	Themeda_triandra	Meroo_NP_Romney_Park_Road	South_Coast	Natural	Themeda_triandra_Natural	Themeda_triandra_South_Coast	Natural_Meroo_NP_Romney_Park_Road	515f/806r	Allison_Plate_4_Run2	Fwd_19	FWD19	REV22	Rev_22
S270_NSW1079741_FWD17	FALSE	FALSE	Melaleuca_quinquenervia	Limeburners_Creek_National_Park	North_Coast	Natural	Melaleuca_quinquenervia_Natural	Melaleuca_quinquenervia_North_Coast	Natural_Limeburners_Creek_National_Park	515f/806r	Allison_Plate 3_Run3	Fwd_17	FWD17	REV05	Rev_05
